ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,City,County,State,Zipcode,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Astronomical_Twilight
A-568626,2,3/2/2019 13:06,3/2/2019 13:51,40.700184,-74.251129,0,Right lane blocked due to accident on Garden State Pkwy Southbound at Exit 141 CR-630 Vauxhall Rd.,,Garden State Pkwy S,Union,Union,NJ,7083,3/2/2019 12:51,37,34.5,79,30.03,10,Variable,3.5,,Day
A-568634,2,3/2/2019 22:11,3/2/2019 22:40,40.804264,-74.184982,0,Toll lane blocked due to accident on Garden State Pkwy Southbound at Essex Toll.,,Garden State Pkwy S,Bloomfield,Essex,NJ,7003,3/2/2019 21:51,39,34.8,76,30.06,10,West,5.8,,Night
A-569284,2,1/31/2019 5:56,1/31/2019 6:25,40.768684,-74.023514,0,Center lane blocked due to accident on NJ-495 Eastbound at Pleasant Ave.,,Park Ave,Weehawken,Hudson,NJ,7086,1/31/2019 5:51,1.9,,43,30.33,10,North,,,Day
A-569290,2,1/31/2019 5:56,1/31/2019 6:57,40.767452,-74.021446,0,One lane blocked due to accident on NJ-495 Eastbound before Lincoln Tunnel.,,Lincoln Tunl W,Weehawken,Hudson,NJ,7086,1/31/2019 5:51,1.9,,43,30.33,10,North,,,Day
A-569293,2,1/31/2019 6:37,1/31/2019 7:06,40.73978,-74.080254,0,Right lane closed due to accident on NJ-7 Newark-Jersey City Tpke Eastbound at CR-659 Fish House Rd.,,Newark Ave,Jersey City,Hudson,NJ,7306,1/31/2019 6:56,6.1,-9.5,67,30.4,10,West,11.5,,Day
A-569304,2,1/31/2019 7:03,1/31/2019 8:02,40.81974,-74.821716,0,Serious accident on NJ-24 Schooleys Mountain Rd at Newburgh Rd.,1,Newburgh Rd,Hackettstown,Morris,NJ,07840-3903,1/31/2019 9:54,1.9,-9.2,47,30.45,,Variable,5.8,,Day
A-569306,2,1/31/2019 7:06,1/31/2019 7:35,40.167068,-74.208786,0,Right hand shoulder blocked due to accident on I-195 Westbound before I-195 Exits 28A 28B / US-9 / Hulse Rd.,,I-195 W,Howell,Monmouth,NJ,7731,1/31/2019 6:56,3,-15.5,47,30.42,10,West,15,,Day
A-569307,2,1/31/2019 7:05,1/31/2019 8:19,40.743679,-74.235558,0,Accident tractor trailer involved on Oakland Ter near Cliff St.,61,Cliff St,Newark,Essex,NJ,07106-1625,1/31/2019 7:12,1.4,-16.1,47,30.41,10,West,12.7,,Day
A-569308,3,1/31/2019 7:10,1/31/2019 7:39,40.853951,-73.964516,0,Left lane blocked due to accident on I-95 George Washington Bridge Northbound at Upper Level Toll Plaza.,,I-95 N,Fort Lee,Bergen,NJ,7024,1/31/2019 6:51,1.9,-14.7,50,30.38,10,West,11.5,,Day
A-569309,2,1/31/2019 7:28,1/31/2019 7:58,40.695469,-74.119064,0,Right hand shoulder blocked due to accident on New Jersey Turnpike - Hudson County Extension Eastbound at I-95.,,Casciano Memorial Bridge,Newark,Essex,NJ,7114,1/31/2019 7:12,1.4,-16.1,47,30.41,10,West,12.7,,Day
A-569310,2,1/31/2019 7:30,1/31/2019 8:00,40.195908,-74.607864,0,Right hand shoulder closed due to accident on I-195 Eastbound after Exit 6 New Jersey Tpke Cars Only Ln.,,I-195 E,Trenton,Mercer,NJ,8691,1/31/2019 7:53,3,-11.5,52,30.42,10,West,9.2,,Day
A-569315,3,1/31/2019 7:10,1/31/2019 8:19,40.853951,-73.964516,0,Left-center lane blocked due to accident on I-95 George Washington Bridge Northbound at Upper Level Toll Plaza.,,I-95 N,Fort Lee,Bergen,NJ,7024,1/31/2019 6:51,1.9,-14.7,50,30.38,10,West,11.5,,Day
A-569317,2,1/31/2019 7:48,1/31/2019 8:17,39.86953,-75.102158,0,Left lane closed due to accident on NJ-42 Northbound at I-295.,,I-295 S,Bellmawr,Camden,NJ,8031,1/31/2019 7:54,7,-9.1,40,30.47,10,West,12.7,,Day
A-569326,2,1/31/2019 8:14,1/31/2019 9:16,39.416759,-74.518982,0,Accident on CR-663 California Ave near Falcon Dr.,520,W California Ave,Absecon,Atlantic,NJ,08201-2864,1/31/2019 7:54,12,0.5,41,30.46,10,West,8.1,,Day
A-569335,3,1/31/2019 8:25,1/31/2019 8:54,39.992096,-74.877373,0,Left hand shoulder blocked due to accident on I-295 Southbound at Exits 43 43A 43B Creek Rd.,,I-295 S,Mount Laurel,Burlington,NJ,8054,1/31/2019 8:54,8.1,-7.7,38,30.48,10,West,12.7,,Day
A-569340,2,1/31/2019 8:38,1/31/2019 9:07,40.538956,-74.298035,0,Left hand shoulder blocked due to accident on New Jersey Tpke Northbound before Exit 11 US-9.,,Hoover Way,Woodbridge,Middlesex,NJ,7095,1/31/2019 8:35,4.6,-15.2,43,30.44,10,WNW,18.4,,Day
A-569349,2,1/31/2019 9:46,1/31/2019 10:16,40.746319,-75.019119,0,Accident on NJ-57 near CR-648 Little Philadelphia Rd.,481,State Highway 57,Washington,Warren,NJ,07882-4343,1/31/2019 9:53,7,-7.5,44,30.44,10,West,10.4,,Day
A-569354,2,1/31/2019 9:56,1/31/2019 10:26,40.886253,-74.131958,0,Restrictions due to accident on NJ-21 Northbound near Exit 14 US-46.,,US-46 E,Clifton,Passaic,NJ,7011,1/31/2019 9:51,7,-8.3,44,30.43,10,West,11.5,,Day
A-569359,2,1/31/2019 10:18,1/31/2019 10:48,40.509003,-74.301361,0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound after Driscoll Bridge.,,Garden State Pkwy S,South Amboy,Middlesex,NJ,8879,1/31/2019 10:15,8.8,-8.1,41,30.45,10,WNW,15,,Day
A-569364,2,1/31/2019 10:29,1/31/2019 10:59,40.057121,-74.459801,0,Accident on CR-539 Pinehurst Rd at Buckalew Ln.,843,Pinehurst Rd,New Egypt,Ocean,NJ,08533-2004,1/31/2019 10:56,12.6,-1.4,36,30.44,10,WNW,11.5,,Day
A-569365,2,1/31/2019 10:29,1/31/2019 10:59,40.788631,-74.194962,0,Accident and fuel spillage on Newark Ave at CR-506-SPUR Bloomfield Ave.,198,Orange St,Bloomfield,Essex,NJ,07003-4729,1/31/2019 10:51,10,-3.7,42,30.42,10,West,10.4,,Day
A-569367,2,1/31/2019 10:55,1/31/2019 11:24,40.782509,-74.044609,0,Right lane blocked due to accident on NJ-3 Service Rd Eastbound at CR-681 Paterson Plank Rd.,926,Paterson Plank Rd,Secaucus,Hudson,NJ,07094-2728,1/31/2019 10:51,10,-3.7,42,30.42,10,West,10.4,,Day
A-569371,2,1/31/2019 10:59,1/31/2019 11:29,40.700642,-74.945061,0,Accident on NJ-31 at School St.,98,School St,Glen Gardner,Hunterdon,NJ,08826-3643,1/31/2019 10:53,9,-5.9,42,30.45,10,West,11.5,,Day
A-569383,2,1/31/2019 13:32,1/31/2019 14:02,40.518951,-74.30188,0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound at Exit 127 US-9.,,NJ-440 N,Keasbey,Middlesex,NJ,8832,1/31/2019 13:35,14.5,1.1,33,30.37,10,WNW,11.5,,Day
A-569387,2,1/31/2019 14:34,1/31/2019 15:04,40.352287,-74.118797,0,Right lane blocked and right hand shoulder blocked due to accident on Garden State Pkwy Express Lane Northbound at Garden State Pkwy.,,Garden State Pkwy N,Middletown,Monmouth,NJ,7748,1/31/2019 14:56,16,3.6,36,30.38,10,WSW,10.4,,Day
A-569388,2,1/31/2019 14:34,1/31/2019 15:04,40.828407,-74.176697,0,Accident on Garden State Pkwy Northbound before Exit 151 CR-655 Watchung Ave.,,Garden State Pkwy S,Bloomfield,Essex,NJ,7003,1/31/2019 14:51,17.1,6.6,34,30.33,10,West,8.1,,Day
A-569389,3,1/31/2019 14:51,1/31/2019 15:21,40.810772,-74.301369,0,Right lane closed due to accident on I-280 Westbound at Exits 6 6A 6B CR-634 Laurel Ave.,,I-280 W,Roseland,Essex,NJ,7068,1/31/2019 13:53,14,2,34,30.36,10,West,9.2,,Day
A-569396,2,1/31/2019 16:26,1/31/2019 16:56,40.337608,-74.100525,0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound at Exit 109 CR-520 Newman Springs Rd.,,Garden State Pkwy N,Red Bank,Monmouth,NJ,7701,1/31/2019 15:56,16,1.7,36,30.39,10,WSW,13.8,,Day
A-569398,2,1/31/2019 16:55,1/31/2019 17:25,39.954235,-74.947388,0,Right lane closed due to accident on NJ-38 Eastbound at Strawbridge Dr.,208,W Route 38,Moorestown,Burlington,NJ,08057-3225,1/31/2019 16:54,16,4.4,31,30.41,10,WSW,9.2,,Day
A-569401,2,1/31/2019 17:16,1/31/2019 17:45,40.7757,-74.202515,0,Left lane blocked due to accident on Garden State Pkwy Northbound at Exit 147 Walnut St.,,Garden State Pkwy S,East Orange,Essex,NJ,7017,1/31/2019 16:51,16,1.1,30,30.36,10,West,15,,Day
A-569402,2,1/31/2019 17:20,1/31/2019 17:50,40.007526,-74.972115,0,Lane blocked due to accident on US-130 Northbound at New Albany Rd.,1905,New Albany Rd,Cinnaminson,Burlington,NJ,08077-3534,1/31/2019 16:54,17.1,1,30,30.43,10,West,18.4,,Day
A-569406,2,1/31/2019 18:10,1/31/2019 18:40,40.725128,-74.342285,0,Left lane blocked due to accident on NJ-24 Eastbound at Exit 9B NJ-124 Morris Tpke.,,NJ-24 W,Summit,Union,NJ,7901,1/31/2019 17:50,12.2,-2.5,48,30.38,10,West,12.7,,Day
A-569407,2,1/31/2019 18:39,1/31/2019 19:08,40.483906,-74.296936,0,Right lane blocked due to accident on NJ-35 Southbound at Raritan St.,,State Route 35,South Amboy,Middlesex,NJ,8879,1/31/2019 18:35,14,1.2,36,30.41,10,WNW,10.4,,Day
A-569410,2,1/31/2019 18:55,1/31/2019 19:24,40.5042,-74.39901,0,Right lane closed due to accident on US-1 Northbound at CR-529 Plainfield Ave.,,US Highway 1,Edison,Middlesex,NJ,8817,1/31/2019 18:55,14,2,35,30.41,10,WNW,9.2,,Night
A-569411,2,1/31/2019 19:02,1/31/2019 19:32,40.518951,-74.30188,0,Right lane closed due to accident on NJ-440 Northbound at US-9.,,NJ-440 N,Keasbey,Middlesex,NJ,8832,1/31/2019 18:55,14,2,35,30.41,10,WNW,9.2,,Night
A-569412,2,1/31/2019 19:21,1/31/2019 19:50,39.899864,-74.958282,0,Left lane closed due to accident on NJ-70 Marlton Pike Eastbound at Wexford Dr.,,State Highway 70,Cherry Hill,Camden,NJ,8003,1/31/2019 18:54,15.1,6.4,32,30.43,10,West,5.8,,Night
A-569419,2,1/31/2019 21:33,1/31/2019 22:32,39.817787,-75.106201,0,Right lane blocked due to accident on NJ-55 Southbound at Exit 58 Deptford Center Rd.,,NJ-55 S,Woodbury,Gloucester,NJ,8096,1/31/2019 21:54,15.1,7.7,43,30.45,10,SSW,4.6,,Night
A-569420,3,1/31/2019 22:29,1/31/2019 23:27,40.26395,-74.511452,0,Left lane blocked due to accident on I-95 Southbound at Exit 8 NJ-133.,,New Jersey Tpke S,Hightstown,Mercer,NJ,8520,1/31/2019 22:53,12,5.9,49,30.42,10,West,3.5,,Night
A-571858,3,2/1/2019 4:09,2/1/2019 4:38,40.805225,-74.078506,0,Right lane blocked due to accident on New Jersey Turnpike - Western Spur Northbound before Exit 16W NJ-3.,99,Meadowlands Plz,East Rutherford,Bergen,NJ,07073-2137,2/1/2019 3:51,10.9,-0.8,44,30.44,10,NW,8.1,,Night
A-571861,3,2/1/2019 4:37,2/1/2019 5:07,40.526573,-74.336113,0,Right lane blocked due to accident on New Jersey Turnpike Southbound before Exit 10 I-287.,,I-287 S,Edison,Middlesex,NJ,8837,2/1/2019 4:35,10.6,,43,30.45,10,Calm,,,Night
A-571869,2,2/1/2019 6:22,2/1/2019 6:51,40.628769,-74.241287,0,Right lane blocked due to accident on US-1-9 Edgar Rd Southbound before Woodlawn Ave.,193,E Edgar Rd,Linden,Union,NJ,07036-3243,2/1/2019 6:15,9.3,,51,30.46,10,Calm,,,Day
A-571873,3,2/1/2019 6:29,2/1/2019 6:58,40.754215,-74.117126,0,Left lane blocked due to accident on New Jersey Turnpike - Eastern Spur Northbound after Exit 15W I-280.,,New Jersey Tpke N,Kearny,Hudson,NJ,7032,2/1/2019 6:51,10.9,2.9,39,30.45,10,WSW,4.6,,Day
A-571881,2,2/1/2019 6:54,2/1/2019 7:23,40.600471,-74.318054,0,Right lane blocked due to accident on Garden State Pkwy Southbound before Colonia Service Area.,,Garden State Pkwy S,Colonia,Middlesex,NJ,7067,2/1/2019 6:55,10,,49,30.46,10,Calm,,,Day
A-571883,3,2/1/2019 7:00,2/1/2019 7:30,40.732124,-74.12487,0,Left lane blocked due to accident on New Jersey Turnpike - Western Spur Northbound before Exit 15E US-1-9.,,New Jersey Tpke S,Newark,Essex,NJ,7105,2/1/2019 6:51,10.9,2.9,39,30.45,10,WSW,4.6,,Day
A-571888,3,2/1/2019 7:00,2/1/2019 7:47,40.754841,-74.117928,0,Right hand shoulder blocked due to accident on New Jersey Turnpike - Eastern Spur Northbound after Exit 15W I-280.,,New Jersey Tpke S,Kearny,Hudson,NJ,7032,2/1/2019 6:51,10.9,2.9,39,30.45,10,WSW,4.6,,Day
A-571890,3,2/1/2019 5:57,2/1/2019 8:07,40.853352,-73.962303,0,Upper level right lane blocked due to accident on I-95 George Washington Bridge Northbound at New Jersey side.,,I-95 N,Fort Lee,Bergen,NJ,7024,2/1/2019 5:51,10,-0.9,44,30.44,10,Variable,6.9,,Day
A-571892,2,2/1/2019 7:32,2/1/2019 8:02,40.728001,-74.024712,0,Center tube right lane blocked due to accident on Holland Tunnel Eastbound after 12th St.,,Holland Tunl E,Jersey City,Hudson,NJ,7310,2/1/2019 7:56,12.9,2.6,49,30.48,10,WSW,6.9,,Day
A-571926,3,2/1/2019 8:34,2/1/2019 9:04,39.910675,-74.976563,0,Left lane blocked due to accident on New Jersey Tpke Northbound at Mile Post 29.,,New Jersey Tpke N,Cherry Hill,Camden,NJ,8034,2/1/2019 8:54,14,3.9,54,30.5,10,NNW,6.9,,Day
A-571930,2,2/1/2019 8:40,2/1/2019 9:10,40.191212,-74.75016,0,Left lane closed due to accident on NJ-29 Northbound before NJ-129 Canal Blvd.,,NJ-29 S,Trenton,Mercer,NJ,8610,2/1/2019 8:53,12.9,3.8,49,30.47,10,West,5.8,,Day
A-571932,2,2/1/2019 8:50,2/1/2019 9:50,40.696735,-75.176003,0,Accident on Marshall St at Roseberry St.,598,Marshall St,Phillipsburg,Warren,NJ,08865-2737,2/1/2019 8:51,8.1,,73,30.48,9,Calm,,,Day
A-571935,2,2/1/2019 8:56,2/1/2019 9:25,40.729939,-74.039688,0,South tube left lane blocked due to accident on Holland Tunnel Eastbound at 12th St.,,Holland Tunl E,Jersey City,Hudson,NJ,7310,2/1/2019 8:56,15.1,4.2,47,30.49,10,WSW,8.1,,Day
A-571941,2,2/1/2019 9:29,2/1/2019 9:59,40.74398,-74.210686,0,Accident on CR-509 Grove St at CR-510 South Orange Ave.,388,Grove St,Newark,Essex,NJ,07103-1348,2/1/2019 9:51,15.1,9.4,32,30.48,10,West,3.5,,Day
A-571942,2,2/1/2019 9:34,2/1/2019 10:04,39.9221,-75.033653,0,Accident on CR-644 Haddonfield Rd at Sherwood Ave.,1080,Haddonfield Rd,Cherry Hill,Camden,NJ,08002-2747,2/1/2019 9:54,14,8.2,71,30.5,4,North,3.5,0,Day
A-571943,2,2/1/2019 9:34,2/1/2019 10:04,39.700661,-74.942924,0,Accident on CR-705 Sicklerville Rd at CR-706 Erial Rd.,2,Sicklerville Rd,Sicklerville,Camden,NJ,08081-2026,2/1/2019 9:54,14,8.2,71,30.5,4,North,3.5,0,Day
A-571944,2,2/1/2019 9:39,2/1/2019 10:08,40.70565,-75.182121,0,Accident on Stateliner Blvd near Roseberry St.,1,Roseberry St,Phillipsburg,Warren,NJ,08865-1627,2/1/2019 9:51,12.9,2.6,47,30.48,10,SW,6.9,,Day
A-571947,2,2/1/2019 9:50,2/1/2019 10:20,40.740898,-74.185577,0,Accident on Market St at Norfolk St.,205,Norfolk St,Newark,Essex,NJ,07103-3115,2/1/2019 9:51,15.1,9.4,32,30.48,10,West,3.5,,Day
A-571951,3,2/1/2019 10:12,2/1/2019 10:42,39.873787,-75.01796,0,Accident on I-295 Southbound near Exit 31 CR-667 Oak Ave.,,I-295 N,Haddonfield,Camden,NJ,8033,2/1/2019 10:06,14,6.5,71,30.49,2.5,NNW,4.6,0,Day
A-571956,2,2/1/2019 10:23,2/1/2019 10:52,40.874378,-74.05027,0,Accident on Lodi St at West St.,168,Lodi St,Hackensack,Bergen,NJ,07601-3929,2/1/2019 10:51,16,,34,30.46,10,North,,,Day
A-571962,2,2/1/2019 10:42,2/1/2019 11:12,40.820686,-74.407791,0,Accident on NJ-10 at CR-637 Troy Hills Rd.,411,State Route 10,Whippany,Morris,NJ,07981-1521,2/1/2019 10:45,14,3.9,45,30.46,10,SW,6.9,,Day
A-571963,3,2/1/2019 10:40,2/1/2019 11:10,40.854649,-73.962936,0.050000001,Entry ramp to I-95 George Washington Bridge Eastbound from Palisades Interstate Pkwy closed due to police incident.,,Palisades Interstate Pkwy S,Fort Lee,Bergen,NJ,7024,2/1/2019 10:51,16,,34,30.46,10,North,,,Day
A-571964,2,2/1/2019 10:43,2/1/2019 11:13,40.759239,-74.208755,0,Right hand shoulder blocked due to accident on Garden State Pkwy Northbound after Exit 145 I-280.,,Garden State Pkwy N,East Orange,Essex,NJ,7018,2/1/2019 10:51,16,8.8,31,30.47,10,Variable,4.6,,Day
A-571971,2,2/1/2019 11:21,2/1/2019 11:51,40.714931,-74.220535,0,Accident ambulance involved on CR-602 Lyons Ave at Fabyan Pl.,,Wainwright Pl,Newark,Essex,NJ,7112,2/1/2019 10:51,16,8.8,31,30.47,10,Variable,4.6,,Day
A-571974,3,2/1/2019 11:43,2/1/2019 12:12,40.597004,-74.624786,0,Fuel spillage on I-287 Northbound near Exit 17 US-202.,,I-287 N,Bridgewater,Somerset,NJ,8807,2/1/2019 11:53,16,8.8,38,30.44,10,NW,4.6,,Day
A-571978,2,2/1/2019 11:54,2/1/2019 12:24,40.538761,-74.588737,0,Accident on 5th Ave at CR-533 Main St.,296,S Main St,Manville,Somerset,NJ,08835-2295,2/1/2019 11:53,16,8.8,38,30.44,10,NW,4.6,,Day
A-571981,3,2/1/2019 12:22,2/1/2019 12:51,40.62355,-74.639214,0,Right hand shoulder blocked due to accident and fuel spillage on I-287 Northbound in Bridgewater Twp.,,I-287 N,Bridgewater,Somerset,NJ,8807,2/1/2019 11:53,16,8.8,38,30.44,10,NW,4.6,,Day
A-571987,2,2/1/2019 13:10,2/1/2019 13:40,39.202572,-74.699692,0,Right lane blocked due to accident on Garden State Pkwy Southbound at Exit 20 NJ-50.,,Garden State Pkwy N,Ocean View,Cape May,NJ,8230,2/1/2019 13:11,17.6,6.4,93,30.39,1,NE,9.2,0,Day
A-572001,2,2/1/2019 16:52,2/1/2019 17:21,40.796928,-74.436646,0,Right lane blocked due to accident on NJ-24 Westbound at Exits 2A 2B 2B-A CR-510 Columbia Tpke.,,NJ-24 W,Morristown,Morris,NJ,7960,2/1/2019 16:50,19.4,11.5,46,30.36,10,NW,5.8,,Day
A-572002,2,2/1/2019 16:54,2/1/2019 17:24,40.216663,-74.099152,0,Left lane blocked due to accident on Garden State Pkwy Southbound at Exits 100A 100B 100C NJ-33 Corlies Ave.,,Garden State Pkwy S,Neptune,Monmouth,NJ,7753,2/1/2019 16:56,18,8.7,78,30.38,9,WNW,6.9,0,Day
A-572003,2,2/1/2019 16:56,2/1/2019 17:26,40.189594,-74.750954,0,Right lane closed due to accident on NJ-29 Southbound at NJ-129 Canal Blvd.,,NJ-129,Trenton,Mercer,NJ,8611,2/1/2019 16:53,18,12.7,74,30.35,5,NW,3.5,0,Day
A-572004,2,2/1/2019 16:58,2/1/2019 17:28,40.901745,-74.136566,0,Right lane blocked due to accident on NJ-20 Mclean Blvd Northbound at I-80.,,Bergen Passaic Expy E,Paterson,Passaic,NJ,7503,2/1/2019 16:51,21.9,15.7,35,30.35,10,Variable,4.6,,Day
A-572009,3,2/1/2019 17:56,2/1/2019 18:25,40.53315,-74.376541,0,Right lane closed due to accident on I-287 Southbound at Exits 2A 2B NJ-27 Lincoln Hwy.,,I-287 S,Edison,Middlesex,NJ,8817,2/1/2019 17:55,20.8,,39,30.37,10,Calm,,,Day
A-572010,3,2/1/2019 18:13,2/1/2019 18:58,39.45195,-74.536369,0,Right lane blocked due to accident on Garden State Pkwy Southbound at Exit 40 US-30.,,Garden State Pkwy S,Absecon,Atlantic,NJ,8205,2/1/2019 18:10,19.9,12.1,85,30.38,4,NW,5.8,0,Day
A-572013,3,2/1/2019 18:52,2/1/2019 19:21,40.797218,-74.190147,0,Right lane blocked due to accident on Garden State Pkwy Northbound at Exits 148 149 Spruce St.,199,Walnut St,Bloomfield,Essex,NJ,07003-5032,2/1/2019 18:51,19.9,10.1,42,30.37,10,West,8.1,,Night
A-572017,2,2/1/2019 19:15,2/1/2019 19:45,40.790154,-74.146027,0,Left & center lane blocked due to accident on NJ-21 Southbound at Exit 7 Main St.,,NJ-21 N,Belleville,Essex,NJ,7109,2/1/2019 18:51,19.9,10.1,42,30.37,10,West,8.1,,Night
A-572019,2,2/1/2019 19:34,2/1/2019 20:03,40.73978,-74.080254,0,Left lane closed due to accident on NJ-7 Newark-Jersey City Tpke Eastbound at CR-659 Fish House Rd.,,Newark Ave,Jersey City,Hudson,NJ,7306,2/1/2019 19:56,21.9,11.7,55,30.4,10,West,9.2,,Night
A-572023,3,2/1/2019 20:43,2/1/2019 21:42,39.872391,-75.037422,0,Right lane blocked due to accident on I-295 Southbound at Exit 30 CR-669 Warwick Rd.,337,Warwick Rd N,Lawnside,Camden,NJ,08045-1021,2/1/2019 20:54,10,,84,30.42,7,Calm,,,Night
A-572024,3,2/1/2019 20:42,2/1/2019 21:41,40.867054,-74.044029,0,Acceleration lane blocked due to accident on I-80 Westbound at Exit 66 Kennedy St.,,Bergen Passaic Expy W,Hackensack,Bergen,NJ,7601,2/1/2019 20:51,18,11.1,50,30.38,10,Variable,4.6,,Night
A-574556,2,2/2/2019 1:45,2/2/2019 2:15,40.253906,-74.368309,0,Left lane blocked due to accident on NJ-33 Westbound at Woodward Rd.,298,State Highway 33,Manalapan,Monmouth,NJ,07726-8305,2/2/2019 1:56,10.9,1.4,92,30.43,10,West,5.8,,Night
A-574559,2,2/2/2019 2:56,2/2/2019 3:24,39.928474,-74.956261,0,Accident on New Jersey Tpke Southbound in Fellowship.,,State Highway 73,Mount Laurel,Burlington,NJ,8054,2/2/2019 2:54,6.1,,83,30.42,9,Calm,,,Night
A-574562,3,2/2/2019 5:08,2/2/2019 5:37,40.853809,-73.963242,3.210000038,Right lane blocked due to accident on I-95 George Washington Bridge both ways from New York side to Exits 72 72A 72B 73 73-74 I-95 Hov Ln.,,I-95 S,Fort Lee,Bergen,NJ,7024,2/2/2019 4:51,15.1,5.2,56,30.37,10,North,6.9,,Night
A-574569,2,2/2/2019 10:13,2/2/2019 10:57,40.99966,-74.071617,0,Left lane blocked due to accident on Garden State Pkwy Southbound at Exit 168 CR-502 Washington Ave.,,Garden State Pkwy S,Township of Washington,Bergen,NJ,7676,2/2/2019 9:51,21.9,11.7,44,30.33,10,SSW,9.2,,Day
A-574574,2,2/2/2019 13:55,2/2/2019 14:40,40.739502,-74.216713,0,Left lane blocked due to accident on Garden State Pkwy at Exit 144 Myrtle Ave.,,Garden State Pkwy S,Irvington,Essex,NJ,7111,2/2/2019 13:51,33.1,21.9,42,30.18,10,SW,18.4,,Day
A-574577,3,2/2/2019 15:14,2/2/2019 15:58,39.881134,-75.009735,3.829999924,Right and center lane blocked due to accident on I-295 Southbound between Exit 34 and Exit 32.,,I-295 S,Cherry Hill,Camden,NJ,8034,2/2/2019 14:54,28.9,21.1,64,30.22,10,SW,8.1,,Day
A-574580,3,2/2/2019 15:30,2/2/2019 15:59,40.64138,-74.646019,1.919999957,Right lane blocked due to accident on I-287 Southbound between Exit 22 and Exit 21.,,I-287 S,Bedminster,Somerset,NJ,7921,2/2/2019 15:53,32,,59,30.15,9,North,,,Day
A-574581,2,2/2/2019 15:35,2/2/2019 16:19,40.752651,-74.167618,0.200000003,Right and center lane blocked due to accident on NJ-21 Mccarter Hwy Southbound from Gouverneur St to Clark St.,50,Clark St,Newark,Essex,NJ,07104-3726,2/2/2019 15:51,33.1,21.9,52,30.14,10,WSW,18.4,,Day
A-574584,2,2/2/2019 16:13,2/2/2019 16:58,40.757275,-74.207207,1.50999999,Right lane blocked due to accident on Garden State Pkwy Northbound between 14th Ave and Exit 145 I-280.,137,Freeway Dr E,East Orange,Essex,NJ,07018-4043,2/2/2019 15:51,33.1,21.9,52,30.14,10,WSW,18.4,,Day
A-574585,2,2/2/2019 16:15,2/2/2019 16:59,40.283848,-74.084846,6.269999981,Accident on Garden State Pkwy Express Southbound between Exit 109 CR-520 Newman Springs Rd and Exit 105 NJ-18.,,Garden State Pkwy N,Eatontown,Monmouth,NJ,7724,2/2/2019 16:56,30.9,20.7,67,30.17,10,SW,13.8,,Day
A-574588,3,2/2/2019 16:27,2/2/2019 17:11,40.689369,-74.577385,6.800000191,Accident on I-287 Northbound between Exit 22 and Exit 26.,,I-287 S,Basking Ridge,Somerset,NJ,7920,2/2/2019 16:53,32,26.4,59,30.13,8,Variable,5.8,,Day
A-574590,2,2/2/2019 16:35,2/2/2019 17:05,40.756371,-74.209747,0,Accident on Garden State Pkwy Northbound at Exit 145 I-280.,,Garden State Pkwy N,East Orange,Essex,NJ,7018,2/2/2019 16:51,32,20.8,56,30.12,10,SW,17.3,,Day
A-574591,2,2/2/2019 16:46,2/2/2019 17:30,40.739464,-74.068115,0.939999998,Restrictions due to accident on US-1-9 Pulaski Skwy Southbound between Manhattan Ave and NJ-7 Newark Ave.,,US-1 Trk N,Jersey City,Hudson,NJ,7306,2/2/2019 16:56,33.1,21.9,64,30.13,10,WSW,18.4,,Day
A-574604,2,2/2/2019 19:17,2/2/2019 20:01,40.759998,-74.051445,2.00999999,Left lane blocked due to accident on US-1-9 Tonnele Ave Southbound from NJ-495 to CR-678 5th St.,,Tonnele Ave,Jersey City,Hudson,NJ,7307,2/2/2019 18:51,32,,61,30.09,9,North,,,Night
A-574609,2,2/2/2019 19:50,2/2/2019 20:34,39.903229,-75.096588,0,Two lanes blocked due to accident on US-130 Crescent Blvd Northbound at Crescent Dr.,3200,Crescent Dr,Camden,Camden,NJ,08104-3314,2/2/2019 19:54,28.9,19.2,75,30.19,10,SW,11.5,,Night
A-574614,2,2/2/2019 21:15,2/2/2019 21:59,40.495426,-74.299553,2.019999981,2 left lane blocked due to accident on Garden State Pkwy Northbound from Exit 124 Garden State Pkwy Express Lane to Exit 125 Chevalier Ave.,,Chevalier Ave,South Amboy,Middlesex,NJ,8879,2/2/2019 21:15,30.2,21.3,67,30.11,10,West,10.4,,Night
A-574616,2,2/2/2019 21:53,2/2/2019 22:38,40.757275,-74.207207,1.50999999,Right lane blocked due to accident on Garden State Pkwy Northbound from 14th Ave to Exit 145 I-280.,137,Freeway Dr E,East Orange,Essex,NJ,07018-4043,2/2/2019 21:51,30.9,19.4,67,30.11,10,WSW,17.3,,Night
A-574619,2,2/3/2019 0:36,2/3/2019 1:05,40.337608,-74.100525,0,Right lane blocked due to accident on Garden State Pkwy Northbound at Exit 109 CR-520 Newman Springs Rd.,,Garden State Pkwy N,Red Bank,Monmouth,NJ,7701,2/3/2019 0:56,28,22.8,81,30.17,10,West,4.6,,Night
